region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,total_days,yield_kg_per_hectare,latitude,longitude,NDVI_index,crop_disease_status,Water_Needed
North India,Cotton,22.48,6.92,24.7,173.25,82.29,9.2,Drip,Inorganic,9.21,143,2673.18,30.564294,81.264948,0.7,Mild,1
East Africa,Wheat,28.41,6.64,23.33,69.21,78.41,8.06,Manual,Organic,17.79,115,3494.23,30.92443,73.075509,0.35,Severe,1
South USA,Maize,30.8,5.51,34.4,214.04,87.54,5.95,Sprinkler,Organic,43.85,110,5192.59,11.768102,89.038004,0.53,Severe,0
Central USA,Rice,18.4,7.04,22.98,55.13,50.41,6.33,Unknown,Inorganic,34.12,97,3194.19,28.397232,88.433996,0.84,Mild,1
Central USA,Wheat,39.12,6.53,24.79,271.35,63.82,7.38,Unknown,Organic,39.04,101,3736.42,12.323687,80.266829,0.88,Mild,0
South India,Cotton,28.45,6.79,16.68,167.05,43.96,8.81,Manual,Organic,49.29,143,2994.61,17.387041,70.954565,0.35,Healthy,1
East Africa,Wheat,27.87,6.33,24.29,230.08,80.64,6.13,Drip,Mixed,5.73,119,2718.21,31.072746,70.905174,0.55,Moderate,1
Central USA,Soybean,35.34,7.01,24.0,251.96,57.07,9.51,Sprinkler,Organic,13.33,106,5486.46,20.844973,70.358304,0.54,Healthy,1
South India,Cotton,26.11,6.31,28.15,236.06,76.3,5.82,Manual,Mixed,35.32,115,5218.56,13.127237,70.277518,0.37,Healthy,1
South India,Wheat,17.32,6.8,27.99,158.95,71.3,8.74,Sprinkler,Organic,18.54,120,3687.52,14.152637,73.048445,0.72,Severe,1
South USA,Wheat,40.09,6.67,19.03,192.36,81.69,4.31,Drip,Organic,33.37,116,5394.47,24.466532,84.621571,0.9,Healthy,0
South USA,Cotton,27.01,6.68,27.23,219.67,80.83,6.93,Drip,Mixed,5.86,125,2254.04,26.207507,87.782812,0.37,Moderate,1
South USA,Cotton,10.73,6.08,18.84,135.96,51.61,5.32,Manual,Mixed,43.41,119,2524.63,28.074875,77.807425,0.55,Moderate,1
South USA,Rice,31.76,6.06,29.99,216.76,46.45,5.2,Unknown,Organic,40.71,105,2837.73,34.981531,77.175735,0.46,Mild,0
South India,Soybean,11.12,5.63,23.61,204.39,46.03,5.34,Manual,Inorganic,40.32,146,4228.09,31.335204,87.473914,0.66,Healthy,1
North India,Cotton,37.96,7.43,30.12,293.66,79.08,7.66,Drip,Mixed,6.89,130,2472.24,32.774644,73.140651,0.48,Severe,0
East Africa,Cotton,35.64,5.7,27.94,133.65,46.89,9.09,Unknown,Inorganic,39.61,143,5236.58,17.168957,73.425236,0.46,Severe,1
Central USA,Rice,15.31,7.01,23.43,107.05,80.09,6.48,Unknown,Inorganic,47.83,133,3447.1,21.064467,85.403037,0.73,Healthy,1
North India,Maize,21.02,7.46,18.29,65.37,77.96,7.96,Sprinkler,Mixed,7.6,141,4641.45,34.316529,78.386106,0.83,Moderate,1
Central USA,Maize,10.28,6.06,25.56,280.11,75.01,6.68,Sprinkler,Mixed,33.1,118,4789.88,30.295777,82.97514,0.77,Moderate,1
North India,Wheat,28.81,6.28,29.38,269.97,66.02,7.24,Sprinkler,Organic,28.03,111,5028.19,10.585544,87.806387,0.62,Moderate,1
South India,Maize,35.43,7.47,17.21,64.99,58.65,7.76,Manual,Organic,7.15,118,3191.84,10.130335,76.779606,0.44,Mild,0
Central USA,Maize,19.96,7.07,29.3,218.11,75.72,7.12,Sprinkler,Organic,19.75,142,5114.2,12.449696,84.232808,0.8,Healthy,1
North India,Wheat,24.87,5.76,19.3,69.52,73.84,6.42,Unknown,Inorganic,31.29,118,4756.07,28.292924,78.338447,0.4,Mild,1
South USA,Cotton,14.53,6.91,32.27,79.51,50.63,6.84,Sprinkler,Mixed,21.62,144,3634.48,19.239649,75.791812,0.61,Healthy,1
Central USA,Maize,44.69,6.11,24.72,247.8,47.11,7.54,Drip,Inorganic,45.01,142,4958.64,13.058198,76.972979,0.82,Severe,0
South USA,Soybean,20.84,6.4,21.76,144.33,81.72,9.0,Sprinkler,Organic,27.71,118,4668.88,31.658639,76.504326,0.78,Severe,1
South USA,Rice,41.51,6.18,15.92,217.61,62.15,5.66,Drip,Organic,36.82,140,5086.38,24.026109,72.475632,0.64,Mild,0
East Africa,Soybean,30.19,5.61,26.4,97.35,63.79,9.38,Drip,Mixed,47.13,107,5147.03,30.742264,86.778349,0.65,Healthy,1
East Africa,Soybean,21.22,6.68,24.83,283.46,57.0,5.08,Drip,Mixed,19.28,97,5919.14,14.2039,72.880685,0.45,Healthy,1
South India,Maize,43.33,6.86,16.18,290.28,49.07,8.28,Manual,Inorganic,9.44,147,3296.87,33.539438,87.99003,0.33,Mild,0
East Africa,Soybean,18.28,6.52,25.09,287.34,53.46,5.91,Unknown,Organic,26.79,104,5654.94,16.728993,89.269494,0.71,Mild,1
East Africa,Rice,20.66,6.31,16.68,208.95,50.17,9.81,Manual,Mixed,49.34,150,3695.01,21.29355,70.020021,0.58,Moderate,1
South India,Wheat,12.11,7.34,20.47,112.72,74.0,10.0,Sprinkler,Mixed,42.83,100,4956.73,11.74838,71.794302,0.72,Mild,1
East Africa,Maize,40.74,5.92,25.1,250.51,84.2,9.67,Manual,Mixed,25.37,110,3366.52,33.974817,76.569145,0.85,Mild,0
North India,Soybean,26.68,7.3,28.45,153.29,84.76,8.22,Unknown,Mixed,8.65,94,4154.6,21.129419,72.468312,0.88,Severe,1
East Africa,Maize,23.54,7.18,31.24,295.95,46.24,6.22,Sprinkler,Inorganic,5.42,138,3124.54,14.787792,86.325616,0.68,Mild,1
South India,Cotton,43.86,5.57,24.86,226.01,70.3,4.04,Unknown,Organic,44.15,121,2681.91,26.495961,81.314141,0.71,Mild,0
North India,Soybean,14.49,5.63,20.19,192.48,51.4,7.14,Manual,Organic,43.15,133,4131.77,27.017009,87.662039,0.3,Severe,1
North India,Maize,25.14,7.49,20.48,220.04,63.33,6.17,Drip,Mixed,15.1,124,3795.45,19.796472,76.694116,0.83,Healthy,1
South India,Cotton,43.52,7.33,18.94,132.31,43.14,7.75,Drip,Inorganic,24.44,141,4505.19,31.01269,74.943071,0.58,Moderate,0
North India,Maize,28.19,5.97,16.46,199.99,61.93,4.57,Unknown,Mixed,10.62,114,3253.12,27.334092,85.652925,0.34,Severe,1
North India,Maize,31.38,6.36,17.04,63.95,42.61,9.1,Unknown,Organic,32.78,145,4398.3,21.335281,79.284182,0.56,Healthy,1
Central USA,Wheat,25.89,6.16,18.85,75.67,69.76,4.41,Sprinkler,Mixed,10.67,112,3684.03,25.521272,73.718468,0.38,Healthy,1
North India,Rice,20.91,6.37,34.19,238.59,55.56,9.31,Sprinkler,Organic,26.13,108,3475.32,22.942015,83.153536,0.39,Mild,1
East Africa,Soybean,40.05,6.34,18.91,100.09,85.43,8.71,Manual,Organic,35.05,119,4399.05,31.300217,81.321938,0.5,Moderate,0
South USA,Maize,15.68,6.41,30.78,60.55,50.97,4.02,Sprinkler,Mixed,15.36,105,3922.98,33.814706,76.630302,0.74,Mild,1
South USA,Rice,38.91,5.51,15.2,139.47,67.73,4.85,Unknown,Organic,33.41,91,2796.49,14.353665,87.707645,0.73,Moderate,0
East Africa,Rice,16.25,5.54,31.86,277.66,41.05,8.06,Unknown,Mixed,40.43,149,2840.95,16.003748,86.189755,0.7,Severe,1
North India,Wheat,15.06,7.35,30.9,97.92,58.91,6.25,Unknown,Mixed,16.0,129,4349.3,29.739695,76.553612,0.33,Moderate,1
South India,Soybean,43.89,7.27,19.18,70.35,63.53,7.98,Drip,Organic,27.89,122,3497.06,21.606682,76.436463,0.52,Severe,0
South USA,Cotton,19.39,6.3,33.42,196.0,41.83,5.32,Sprinkler,Inorganic,43.84,109,3700.09,24.28426,88.709978,0.52,Healthy,1
South India,Wheat,20.33,6.54,19.6,60.29,65.61,6.02,Unknown,Inorganic,24.46,121,3268.08,10.617955,78.83377,0.46,Healthy,1
Central USA,Wheat,20.31,6.5,25.93,69.54,53.82,5.37,Drip,Organic,21.21,111,2786.59,16.250591,84.904227,0.76,Moderate,1
South India,Soybean,44.93,7.5,30.05,234.96,85.62,4.05,Manual,Inorganic,42.0,142,4319.82,21.8001,80.252939,0.76,Mild,0
South USA,Rice,17.94,7.0,24.49,178.96,79.3,8.55,Unknown,Inorganic,40.64,102,3715.17,20.442197,78.773616,0.81,Healthy,1
Central USA,Rice,30.21,5.76,33.87,52.42,80.52,9.01,Manual,Organic,23.86,115,5051.37,23.4401,76.52159,0.31,Healthy,1
South India,Rice,44.2,7.49,26.36,249.79,85.69,7.44,Unknown,Inorganic,14.19,124,3545.74,12.715959,81.3903,0.57,Moderate,0
North India,Rice,13.65,6.61,15.64,222.26,64.43,5.12,Drip,Inorganic,17.77,132,4097.58,11.43633,80.370634,0.4,Severe,1
South USA,Rice,44.64,5.76,23.37,235.79,59.45,9.42,Sprinkler,Organic,44.17,142,4838.69,13.969531,81.501828,0.49,Mild,0
East Africa,Cotton,19.64,5.51,17.85,65.99,59.96,8.85,Manual,Mixed,44.57,126,2156.34,17.197795,87.619881,0.57,Moderate,1
South USA,Soybean,38.82,7.2,23.3,94.89,70.89,6.59,Unknown,Mixed,13.25,115,4794.58,15.992381,87.410792,0.46,Moderate,0
North India,Rice,41.81,6.32,30.24,80.31,58.44,8.53,Manual,Inorganic,25.29,122,2178.54,11.829887,83.889714,0.75,Severe,0
Central USA,Cotton,39.95,6.29,15.21,78.67,85.86,5.96,Unknown,Inorganic,25.76,132,2969.17,13.506394,86.408534,0.8,Mild,0
North India,Soybean,13.52,6.09,25.69,147.71,43.88,8.58,Manual,Organic,24.83,135,2137.78,21.051454,70.95512,0.68,Healthy,1
South USA,Maize,25.54,6.7,15.97,144.35,50.09,5.5,Sprinkler,Organic,9.11,90,3348.47,26.998988,71.26343,0.88,Healthy,1
South India,Rice,11.54,6.53,31.31,130.67,71.34,7.75,Unknown,Inorganic,10.44,112,3293.47,20.053487,76.324804,0.53,Severe,1
South India,Wheat,33.03,6.06,27.48,60.98,84.27,6.47,Unknown,Organic,37.06,106,5836.14,18.108857,82.617478,0.53,Mild,0
Central USA,Rice,32.24,7.27,21.36,262.89,64.11,6.01,Unknown,Inorganic,28.0,122,4349.87,15.815148,82.326973,0.84,Moderate,0
South India,Cotton,36.5,6.74,16.2,143.63,54.83,4.91,Sprinkler,Mixed,6.71,150,3774.9,13.356675,76.350773,0.77,Healthy,0
East Africa,Cotton,32.68,6.08,15.47,261.73,56.56,5.45,Drip,Mixed,49.48,136,2889.78,23.036798,73.670909,0.68,Healthy,0
South USA,Wheat,43.38,5.6,34.84,284.57,46.28,5.04,Sprinkler,Organic,27.83,119,3245.85,14.938407,78.480336,0.66,Moderate,0
Central USA,Soybean,25.69,6.77,20.44,245.32,44.0,9.84,Unknown,Inorganic,12.55,122,4437.58,29.008112,86.392076,0.78,Healthy,1
South USA,Cotton,39.89,7.02,33.43,198.8,47.64,8.36,Manual,Inorganic,25.86,114,4248.57,11.798491,72.733127,0.58,Mild,1
South India,Wheat,10.45,6.5,29.51,172.86,86.28,9.64,Manual,Inorganic,27.03,94,3635.15,34.811812,72.48955,0.86,Mild,1
South India,Cotton,43.5,7.04,30.03,137.14,75.46,7.81,Manual,Mixed,7.6,137,2987.17,10.862689,86.262528,0.68,Healthy,0
South India,Maize,31.19,7.39,17.95,111.85,68.92,7.98,Sprinkler,Organic,10.25,135,5667.53,27.651744,89.482912,0.35,Mild,0
South USA,Rice,39.04,6.01,21.04,291.92,72.92,6.3,Manual,Mixed,23.52,95,2437.1,29.417278,76.887856,0.39,Mild,0
South USA,Maize,10.22,5.84,24.83,74.22,78.69,6.51,Unknown,Mixed,17.98,101,3498.61,13.358302,79.729425,0.6,Healthy,1
South USA,Soybean,38.5,5.87,16.18,95.68,77.96,5.56,Unknown,Inorganic,33.21,145,4545.73,17.32814,77.554571,0.47,Moderate,0
North India,Soybean,18.22,6.47,30.21,52.38,53.3,9.73,Drip,Organic,14.5,128,4080.3,33.30321,79.464636,0.5,Severe,1
Central USA,Maize,33.87,6.19,21.3,109.9,58.06,6.39,Drip,Inorganic,44.29,119,5482.17,28.130505,87.759411,0.38,Healthy,0
East Africa,Maize,43.29,7.0,19.97,162.98,74.31,9.22,Unknown,Mixed,13.46,110,2066.52,31.835862,89.391952,0.74,Severe,0
South India,Soybean,26.96,6.98,30.88,137.08,86.95,9.65,Unknown,Mixed,43.57,114,3175.45,27.798549,87.397174,0.83,Healthy,1
South India,Cotton,37.89,6.1,28.46,187.19,83.74,5.01,Unknown,Organic,26.7,105,2846.56,33.605247,83.99818,0.36,Healthy,0
South India,Maize,41.59,7.03,19.41,114.41,63.82,9.39,Drip,Mixed,11.11,136,3967.84,31.798515,88.635599,0.76,Healthy,0
Central USA,Cotton,41.86,6.99,29.5,213.48,79.25,9.8,Unknown,Organic,15.06,95,2445.53,28.51453,88.744213,0.75,Healthy,0
East Africa,Maize,14.46,6.13,22.6,234.23,55.54,7.54,Sprinkler,Inorganic,49.09,113,5190.07,13.157684,83.274856,0.65,Healthy,1
South USA,Wheat,28.84,6.42,17.89,285.72,81.86,7.0,Unknown,Organic,32.07,132,5396.51,24.972008,76.177829,0.89,Healthy,1
Central USA,Soybean,26.74,7.16,24.9,226.04,58.84,9.89,Manual,Organic,42.25,136,5737.73,27.510185,71.051326,0.82,Mild,1
South USA,Cotton,20.47,7.13,33.25,89.8,41.08,6.35,Unknown,Mixed,26.3,115,3564.25,28.168865,75.647282,0.85,Severe,1
North India,Rice,21.32,7.08,32.32,63.53,86.73,5.82,Sprinkler,Mixed,11.19,108,5588.87,15.453412,84.96765,0.74,Healthy,1
Central USA,Soybean,13.57,7.07,32.17,144.14,89.14,8.08,Sprinkler,Organic,9.32,150,2209.89,26.252445,81.867848,0.88,Severe,1
South India,Wheat,14.16,6.29,21.05,199.04,48.62,8.47,Drip,Inorganic,43.92,107,4529.33,19.183076,72.400008,0.35,Severe,1
East Africa,Rice,10.81,6.65,26.45,118.43,77.27,8.77,Sprinkler,Inorganic,26.79,117,3193.45,12.486031,71.269966,0.85,Mild,1
South USA,Wheat,23.78,7.13,30.67,182.52,43.2,9.02,Drip,Organic,48.46,145,4396.41,10.1331,78.944658,0.49,Healthy,1
South India,Soybean,17.22,5.82,26.25,262.86,41.75,9.88,Manual,Inorganic,48.48,150,4632.64,17.514999,88.924292,0.61,Moderate,1
East Africa,Cotton,14.89,6.48,21.26,277.7,89.84,7.64,Sprinkler,Mixed,9.46,92,2752.29,31.402129,74.304259,0.38,Mild,1
East Africa,Maize,19.71,6.96,23.44,187.46,53.03,7.9,Sprinkler,Inorganic,25.52,117,5760.8,23.397608,71.411161,0.74,Mild,1
Central USA,Soybean,33.01,7.14,27.1,154.92,47.67,9.95,Unknown,Inorganic,6.17,94,3080.5,12.749753,80.967376,0.34,Healthy,1
Central USA,Maize,37.23,5.79,30.96,118.41,44.9,9.88,Sprinkler,Inorganic,47.83,123,4913.31,24.720676,86.135963,0.36,Moderate,1
East Africa,Maize,29.3,6.71,32.93,92.69,87.33,6.34,Manual,Mixed,35.5,128,5528.08,21.921547,72.551444,0.31,Mild,1
South India,Rice,23.26,6.97,16.06,231.35,88.72,8.25,Sprinkler,Mixed,32.39,101,3755.84,29.961722,80.044585,0.47,Severe,1
East Africa,Rice,20.68,7.22,33.95,151.63,55.64,4.54,Drip,Organic,37.85,126,2229.65,17.146272,88.59178,0.79,Healthy,1
South USA,Soybean,42.64,5.77,24.96,221.28,73.84,7.19,Drip,Inorganic,5.63,137,2029.16,27.564793,84.993359,0.45,Healthy,0
East Africa,Cotton,43.76,6.85,32.64,180.88,51.25,4.45,Sprinkler,Mixed,20.9,121,3516.38,34.24321,76.759172,0.71,Healthy,0
Central USA,Maize,26.91,6.03,15.04,207.79,59.68,9.54,Drip,Inorganic,45.16,112,2023.56,18.213795,77.077855,0.3,Mild,1
South USA,Maize,10.31,6.36,18.95,182.27,84.93,6.46,Unknown,Organic,12.0,104,3882.79,17.482124,78.566829,0.41,Moderate,1
North India,Cotton,32.97,6.38,17.8,236.77,40.29,9.3,Sprinkler,Organic,13.53,115,3684.22,32.524945,73.20625,0.42,Severe,1
Central USA,Wheat,24.74,6.6,31.0,228.58,56.24,8.59,Unknown,Mixed,37.67,142,3555.39,33.941965,85.854259,0.38,Moderate,1
East Africa,Wheat,36.86,5.97,28.57,135.54,88.82,8.42,Unknown,Inorganic,18.03,138,3715.81,28.231214,73.737205,0.47,Healthy,1
Central USA,Rice,33.32,6.36,24.48,245.68,45.15,8.38,Sprinkler,Organic,49.66,130,2594.9,13.307395,70.767329,0.89,Mild,1
South USA,Wheat,31.58,5.68,16.02,151.82,55.32,7.8,Sprinkler,Organic,20.13,122,3708.29,17.60725,75.384922,0.47,Moderate,0
South USA,Rice,21.19,5.6,15.82,63.03,77.24,5.27,Unknown,Inorganic,45.88,101,3009.05,19.089531,76.087134,0.36,Healthy,1
East Africa,Rice,21.59,6.98,22.23,244.7,66.44,6.23,Manual,Organic,31.29,98,4518.23,13.008859,81.731229,0.85,Mild,1
South India,Cotton,42.39,5.65,25.93,135.72,76.27,9.94,Sprinkler,Mixed,37.43,102,3672.85,16.313138,87.541507,0.81,Moderate,0
Central USA,Cotton,32.05,5.73,23.72,170.71,66.19,9.71,Drip,Organic,31.96,108,2181.78,11.519835,89.44948,0.41,Severe,1
South USA,Soybean,40.46,7.44,18.31,237.68,59.21,8.68,Unknown,Mixed,17.22,100,4287.59,27.418044,87.5831,0.77,Severe,0
East Africa,Soybean,19.06,7.2,20.93,117.13,45.96,5.34,Sprinkler,Inorganic,6.76,149,2531.89,26.060328,74.980161,0.79,Healthy,1
North India,Maize,32.14,7.44,21.49,286.61,84.2,5.58,Sprinkler,Inorganic,45.43,93,4503.82,30.598295,74.385592,0.88,Mild,0
Central USA,Wheat,28.81,7.46,30.56,245.13,45.32,8.47,Unknown,Mixed,16.58,128,4203.51,15.515976,75.37587,0.65,Severe,1
South India,Cotton,18.11,6.95,22.37,275.54,44.68,5.09,Sprinkler,Organic,13.5,101,4590.26,17.754006,87.705061,0.79,Mild,1
North India,Rice,12.52,5.99,33.18,292.6,45.01,7.16,Drip,Mixed,9.49,97,5306.25,30.762928,88.693555,0.38,Healthy,1
Central USA,Rice,42.85,6.7,30.85,52.35,79.58,7.25,Manual,Mixed,8.82,138,4251.4,30.386623,76.1477,0.59,Mild,0
North India,Soybean,34.22,6.75,17.46,256.23,45.14,5.78,Unknown,Organic,5.05,104,3708.54,18.832748,75.736924,0.85,Severe,0
North India,Cotton,15.93,5.72,17.03,288.96,57.87,7.69,Drip,Inorganic,46.55,128,2604.41,23.262016,81.99223,0.71,Mild,1
Central USA,Soybean,38.61,6.2,17.08,279.06,73.09,9.6,Drip,Organic,43.78,131,2586.36,19.764989,84.426869,0.77,Severe,1
North India,Wheat,30.22,7.42,20.57,72.61,89.74,5.09,Unknown,Inorganic,19.37,134,5891.4,13.455532,88.880605,0.85,Severe,0
